names,lat,lon
NEW_YORK,40.7,-74.01
BOSTON,42.35,-71.05
LOS_ANGELES,33.72,-118.27
SAN_FRANCISCO,37.81,-122.47
MIAMI_BEACH,25.77,-80.13
NAPLES,26.13,-81.81
SANTA_MONICA,34.01,-118.5
SANTA_BARBARA,34.41,-119.69
RINCON_ISLAND,34.35,-119.44
SEATTLE,47.6,-122.34
PHILADELPHIA,39.93,-75.14
NEW_LONDON,41.36,-72.09
BALTIMORE,39.27,-76.58
HONOLULU,21.31,-157.87
SAN_DIEGO,32.71,-117.17
QUEBEC,46.83,-71.17
HALIFAX,44.67,-63.58
VANCOUVER,49.28,-123.12
PORT-SAINT-FRANCOIS,46.27,-72.62
OSAKA,34.66,135.43
HIROSIMA,34.35,132.46
TOKYO_III,35.65,139.77
OKINAWA,26.18,127.82
NAGASAKI,32.73,129.87
HACHINOHE_I,40.53,141.53
HAKODATE_I,41.78,140.72
SAKAI,35.55,133.24
KUSHIRO,42.98,144.37
NAGOYA,35.08,136.88
NAHA,26.21,127.67
ALGECIRAS,36.12,-5.43
BILBAO,43.35,-3.05
ALICANTE,38.34,-0.48
BARCELONA,41.34,2.17
MALAGA,36.71,-4.42
GIJON_II,43.56,-5.7
SANTANDER_I,43.46,-3.79
GIBRALTAR,36.15,-5.36
BONANZA,36.8,-6.34
ALMERIA,36.83,-2.48
CADIZ_II,36.53,-6.31
VALENCIA,39.44,-0.31
L'ESTARTIT,42.05,3.21
PALMA_DE_MALLORCA,39.55,2.64
ABERDEEN_I,57.14,-2.08
BOURNEMOUTH,50.71,-1.87
FELIXSTOWE,51.96,1.35
WEYMOUTH,50.61,-2.45
LIVERPOOL_GEORGES_AND_PRINCES_PIERS,53.4,-3.0
BIRKENHEAD,53.4,-3.02
KIEL-HOLTENAU,54.37,10.16
WARNEMUNDE_2,54.17,12.1
GDANSK/NOWY_PORT,54.4,18.68
VLISSINGEN,51.44,3.6
MAASSLUIS,51.92,4.25
IJMUIDEN,52.46,4.55
MARSEILLE,43.28,5.35
BOULOGNE,50.73,1.58
ST. NAZAIRE,47.27,-2.2
SETE,43.4,3.7
PORT_VENDRES,42.52,3.11
MONACO,43.73,7.42
BAKAR,45.3,14.53
NAPOLI,40.84,14.26
VENEZIA,45.42,12.33
PALERMO,38.13,13.33
TRIESTE,45.65,13.76
CAGLIARI,39.2,9.17
GENOVA,44.4,8.9
CIVITAVECCHIA,42.05,11.82
STOCKHOLM,59.32,18.08
GOTEBORG - TORSHAMNEN,57.68,11.79
HELSINKI,60.15,24.96
OSLO,59.91,10.73
NY-ALESUND,78.93,11.94
BERGEN,60.4,5.32
NEVLUNGHAVN,58.97,9.88
HARSTAD,68.8,16.55
AARHUS,56.15,10.22
ESBJERG,55.46,8.44
LEIXOES,41.18,-8.7
CASCAIS,38.68,-9.42
SINES,37.95,-8.88
DUBLIN,53.35,-6.22
BELFAST_2,54.6,-5.92
RHODOS,36.44,28.24
AUCKLAND_II,-36.84,174.77
WELLINGTON_HARBOUR,-41.28,174.78
PORT_CHALMERS,-45.81,170.62
BRISBANE,-27.37,153.17
SYDNEY,-33.85,151.23
PORT_ADELAIDE,-34.78,138.48
NEWCASTLE_I,-32.92,151.8
TANJONG_PAGAR,1.27,103.85
ACAPULCO,16.83,-99.92
CABO_SAN_LUCAS,22.88,-109.9
ENSENADA,31.85,-116.63
BUENOS_AIRES,-34.6,-58.37
CAPE_TOWN,-33.91,18.43
DURBAN,-29.87,31.05
